run_id,conv1_filters,conv2_filters,kernel_size,dropout,hidden_nodes,batch_size,epochs,lr,parameters,train_loss,train_accuracy,test_loss,test_accuracy,test_error,train_seconds,seconds_per_epoch
19,16,20,5,0.0,24,64,2,0.01,32230,0.4897920545339584,0.844375,0.5095978775024415,0.827,0.17300000000000004,24.110381400001643,12.055190700000821
20,16,12,7,0.25,24,64,2,0.01,24606,0.48279287219047545,0.854125,0.3191411590576172,0.9075,0.09250000000000003,23.626122400004533,11.813061200002267
21,24,48,3,0.25,24,512,2,0.01,67378,2.1184281787872314,0.41175,1.9783257141113282,0.526,0.474,13.206689700004063,6.603344850002031
22,6,12,3,0.0,160,64,2,0.01,96570,0.5279578069448471,0.83075,0.4244991912841797,0.8695,0.13049999999999995,22.00245819999691,11.001229099998454
23,10,12,7,0.25,100,512,2,0.01,66302,2.273528917312622,0.109125,2.252688049316406,0.108,0.892,10.429334599997674,5.214667299998837
24,10,12,7,0.5,50,64,2,0.01,36352,0.6005227706432342,0.81775,0.3371883850097656,0.9055,0.09450000000000003,23.143564799996966,11.571782399998483
25,10,32,3,0.0,24,128,2,0.01,40918,1.6926961812973023,0.636,0.9549510498046875,0.738,0.262,13.942003000003751,6.971001500001876
26,24,48,5,0.65,160,256,2,0.01,407562,1.8151155977249145,0.56,1.188227294921875,0.7295,0.27049999999999996,16.094702599999437,8.047351299999718
27,16,20,3,0.25,24,256,2,0.01,26854,2.2173678321838377,0.219375,2.1385537109375,0.429,0.571,10.296661499996844,5.148330749998422
28,24,32,7,0.65,100,64,2,0.01,196774,0.47375867462158205,0.862125,0.2738177604675293,0.9195,0.08050000000000002,28.240269099995203,14.120134549997601
29,6,48,3,0.5,50,512,2,0.01,120860,2.0889216299057005,0.41625,1.9091468811035157,0.608,0.392,8.626982599998883,4.313491299999441
30,24,12,7,0.0,100,256,2,0.01,75234,1.9490638332366943,0.53275,1.4334361877441406,0.662,0.33799999999999997,16.510632099998475,8.255316049999237
